	Experiment	Condition	Sample	Total reads	DCM reads	CpG reads	Total million	DCM million	CpG million	DCM/CpG ratio	Genic DCM level	Correction factor
C4neg-1	iPSC clones	iPSC C4 -dox	iPSCs -dox C4 rep1	42414674	1756919	40657755	42.414674	1.756919	40.657755	0.043212395765580267	0.0003471847873737	42.414674
C4neg-2	iPSC clones	iPSC C4 -dox	iPSCs -dox C4 rep2	32645592	1431276	31214316	32.645592	1.431276	31.214316	0.04585319120880304	0.0003277908968221	32.645592
C4neg-3	iPSC clones	iPSC C4 -dox	iPSCs -dox C4 rep3	34929672	1383492	33546180	34.929672	1.383492	33.54618	0.041241417055533594	0.0003013548485317	34.929672
C4-1	iPSC clones	iPSC C4 +dox	iPSCs +dox C4 rep1	42715841	26629059	16086782	42.715841	26.629059	16.086782	1.655337841962426	0.0043668002519829	55.30822036168623
C4-2	iPSC clones	iPSC C4 +dox	iPSCs +dox C4 rep2	48475994	20953967	27522027	48.475994	20.953967	27.522027	0.7613526067683896	0.0030141949434697	43.3246892644705
C4-3	iPSC clones	iPSC C4 +dox	iPSCs +dox C4 rep3	44165595	17234310	26931285	44.165595	17.23431	26.931285	0.6399364159563867	0.0027367528005584	35.83909656147805
C6neg-1	iPSC clones	iPSC C6 -dox	iPSCs -dox C6 rep1	36506398	1591859	34914539	36.506398	1.591859	34.914539	0.04559301212597995	0.0003505865162146	36.506398
C6neg-2	iPSC clones	iPSC C6 -dox	iPSCs -dox C6 rep2	34477290	1273347	33203943	34.47729	1.273347	33.203943	0.038349270747754266	0.0002857020798314	34.47729
C6neg-3	iPSC clones	iPSC C6 -dox	iPSCs -dox C6 rep3	34594914	1483964	33110950	34.594914	1.483964	33.11095	0.04481792277177188	0.0003217304238688	34.594914
C6-1	iPSC clones	iPSC C6 +dox	iPSCs +dox C6 rep1	38526918	16985836	21541082	38.526918	16.985836	21.541082	0.7885321637975289	0.0031951689628058	36.50022100017596
C6-2	iPSC clones	iPSC C6 +dox	iPSCs +dox C6 rep2	38250331	8978049	29272282	38.250331	8.978049	29.272282	0.306708202660797	0.0016556692056851	18.777862969782294
C6-3	iPSC clones	iPSC C6 +dox	iPSCs +dox C6 rep3	41932304	10920096	31012208	41.932304	10.920096	31.012208	0.35212249318075	0.0018226596869735	22.661659525276885
T0-1	iPSC propagation	iPSC 0h	iPSCs CellTrace 0h rep1	473045	146485	326560	0.473045	0.146485	0.32656	0.44856994120529153	0.0024021636969278	0.5225196395877523
T0-2	iPSC propagation	iPSC 0h	iPSCs CellTrace 0h rep2	424895	115254	309641	0.424895	0.115254	0.309641	0.37221814940527903	0.0019472671757939	0.3804562531838661
T24-1	iPSC propagation	iPSC 24h	iPSCs CellTrace 24h rep1	370062	63320	306742	0.370062	0.06332	0.306742	0.20642755149278547	0.0013159709292016	0.223933129760242
T24-2	iPSC propagation	iPSC 24h	iPSCs CellTrace 24h rep2	433831	80944	352887	0.433831	0.080944	0.352887	0.22937654263262744	0.0015475427137254	0.3087171736646474
T48-1	iPSC propagation	iPSC 48h	iPSCs CellTrace 48h rep1	722456	81646	640810	0.722456	0.081646	0.64081	0.12741062093288183	0.0009410359733883	0.3126188713351389
T48-2	iPSC propagation	iPSC 48h	iPSCs CellTrace 48h rep2	436528	44152	392376	0.436528	0.044152	0.392376	0.11252472118580137	0.000827695967562	0.1661424107664108
T72-1	iPSC propagation	iPSC 72h	iPSCs CellTrace 72h rep1	413751	29769	383982	0.413751	0.029769	0.383982	0.07752707158148038	0.0006121881395993	0.1164719993762567
T72-2	iPSC propagation	iPSC 72h	iPSCs CellTrace 72h rep2	358726	31817	326909	0.358726	0.031817	0.326909	0.09732677901189628	0.0006716534390423	0.1107913005745118
iPSC-c1	PGT differentiation	iPSC chase	iPSCs chase rep1	34190998	2079124	32111874	34.190998	2.079124	32.111874	0.06474626800042875	0.0005351400694197	5.425211139019645
iPSC-c2	PGT differentiation	iPSC chase	iPSCs chase rep2	33699370	2686999	31012371	33.69937	2.686999	31.012371	0.08664281102531632	0.0007167045428548	7.161423148669981
iPSC-c3	PGT differentiation	iPSC chase	iPSCs chase rep3	33967760	2335542	31632218	33.96776	2.335542	31.632218	0.0738342787091313	0.0005949075395281	5.991751286803032
DE-c1	PGT differentiation	DE chase	DE chase rep1	31324302	2308304	29015998	31.324302	2.308304	29.015998	0.07955280393939923	0.0005713196226392	5.306375016989576
DE-c2	PGT differentiation	DE chase	DE chase rep2	35128406	2490389	32638017	35.128406	2.490389	32.638017	0.07630331830515316	0.0005497697732304	5.726334301322748
DE-c3	PGT differentiation	DE chase	DE chase rep3	34332371	2432121	31900250	34.332371	2.432121	31.90025	0.07624144011410569	0.0005385261712095	5.482113305391131
